text,label
i'm totally repulsed by that movie scene.,disgust
"finally got that project done, feeling pretty relieved now.",relief
this darkness is kind of freaking me out honestly.,fear
not loving the weird texture of this soup,disgust
this sunshine is making me rather happy today.,happiness
the smell of rotten fish is making me gag.,disgust
i was expecting more from that concert.,disappointment
i feel happy about the support from everyone lately.,gratitude
the weekend's arrival is slowly starting to feel pretty sweet.,excitement
"clearly, everything is falling into place today perfectly.",happiness
her smile was incredibly contagious that entire summer.,happiness
my mom is actually being pretty cool about it.,surprise
this thunderstorm is kind of scaring me.,fear
i'm getting a bit tired of these telemarketing calls daily.,anger
my day has been pretty stressful from the start somehow.,frustration
my hopes were shattered in just one phone call somehow.,disappointment
i'm kind of mortified about what happened last night.,embarrassment
i've been beating myself up over this all day,guilt
i'm hoping for some good news today.,hope
everything came together perfectly at the wedding yesterday somehow.,happiness
i'm feeling a bit overwhelmed and stressed out today.,sadness
fear is consuming me and it's terrifying honestly.,fear
this thunderstorm is freaking me out a bit,fear
i think this week will be better than last.,hope
just finished paying off my credit card debt yay!,relief
"my mood is slowly starting to lift, yay.",hope
my actions really hurt someone i care about today.,guilt
my face is burning from that awkward encounter earlier.,embarrassment
why is my computer freezing up on me now?,frustration
i nailed my presentation this morning thankfully.,pride
this traffic is making me super irate right now!,anger
being single can be pretty boring sometimes.,loneliness
i think i forgot my friend's birthday again,guilt
got out of bed before noon today yay progress,relief
i'm having a really tough time concentrating today,frustration
"not really feeling this book so far, huh.",disappointment
.my dreams are within reach and it's an incredible feeling.,hope
my day has been pretty nervewracking so far today.,anxiety
my heart is full of thanks right now honestly.,gratitude
just spilled coffee all over my shirt,embarrassment
i'm thankful for having a roof over my head.,gratitude
can't believe my favorite team lost that game tonight too.,anger
"i feel pure rage thinking about last night still,",anger
i'm completely stunned by what just happened here.,surprise
i'm grateful for this quiet morning at home.,gratitude
the prospect of tomorrow's adventure is quietly thrilling me.,excitement
my procrastination is going to cost me big time now,guilt
my food looks super unappetizing right now honestly.,disgust
i feel kinda sad about what happened last night,sadness
my gym socks are all sweaty and gross today.,disgust
"i'm not sure why, but i'm feeling pretty possessive today.",jealousy
some people's habits are just plain nasty to me,disgust
i'm feeling a bit disconnected from others today.,loneliness
"thanks to netflix, my evening just got way better.",gratitude
"my week just got a lot brighter, thanks to you!",gratitude
i'm a little jealous of your new connection,jealousy
i feel grateful for my supportive friends lately.,gratitude
i'm so thankful i got to sleep in this morning.,gratitude
i'm thankful for this delicious breakfast right now.,gratitude
"what i did was thoughtless, my apologies",guilt
my family means everything to me right now honestly.,gratitude
"that joke totally fell flat, so embarrassing for me.",embarrassment
"today is just an okay day, i guess.",disappointment
i'm seriously repulsed by his behavior today.,disgust
my biggest fear is coming true right now apparently.,fear
"i'm totally stunned, don't know what to say.",surprise
today's tasks are making me a bit anxious honestly,anxiety
i'm dying inside thinking about them together last night,jealousy
i'm grateful for another day to pursue my dreams.,gratitude
i wish someone would just talk to me,loneliness
clearly this new job is a perfect fit for me.,happiness
i'm getting a little nervous about this presentation.,fear
i'm trying to figure out what just happened here.,confusion
i'm not having a good morning at all yet.,sadness
my day just got worse with that phone call.,sadness
why does my sister get all the attention always?,jealousy
i should've helped my brother with his project sooner.,guilt
my mind is completely blank right now what's wrong?,confusion
wishing i had some company right now.,loneliness
"managed to stay organized all week, small victory!",pride
what's happening with the weather forecast lately?,confusion
modified your advice really helped turn my day around.,gratitude
"missing some human interaction, been stuck inside all day.",loneliness
i aced that difficult test without studying much surprisingly.,pride
fingers crossed that this new job works out great.,hope
today was super scary for me on the highway,fear
can't figure out why my computer won't work.,confusion
l accidentally superglued my shoes together,embarrassment
i feel a tad uneasy about this situation unfolding.,anxiety
my sister surprised me with tickets tonight!,surprise
