sentence,emotion,cleaned_text
I'm so furious with you right now.,anger,i'm so furious with you right now.
My day is ruined because of this crap.,anger,my day is ruined because of this crap.
I feel like I'm about to explode.,anger,i feel like i'm about to explode.
This is the worst day of my life.,anger,this is the worst day of my life.
I hate everything about this situation.,anger,i hate everything about this situation.
"I'm beyond angry, I'm livid right now.",anger,"i'm beyond angry, i'm livid right now."
My blood is boiling just thinking about it.,anger,my blood is boiling just thinking about it.
I'm fed up with all these lies and excuses.,anger,i'm fed up with all these lies and excuses.
This is seriously pissing me off right now.,anger,this is seriously pissing me off right now.
I've had enough of your nonsense already.,anger,i've had enough of your nonsense already.
I'm so furious about what you just said.,anger,i'm so furious about what you just said.
My day is ruined because of that idiot.,anger,my day is ruined because of that idiot.
I'm literally shaking with rage right now.,anger,i'm literally shaking with rage right now.
I hate everything about this situation right now.,anger,i hate everything about this situation right now.
I'm so done with your lies and excuses.,anger,i'm so done with your lies and excuses.
That was the most infuriating thing I've ever seen.,anger,that was the most infuriating thing i've ever seen.
I'm at my breaking point with all this stress.,anger,i'm at my breaking point with all this stress.
My anger is boiling over and I'm exploding.,anger,my anger is boiling over and i'm exploding.
This is absolutely unacceptable and I'm fed up.,anger,this is absolutely unacceptable and i'm fed up.
I'm so annoyed with this traffic right now.,anger,i'm so annoyed with this traffic right now.
My boss is really getting on my nerves today.,anger,my boss is really getting on my nerves today.
I'm frustrated with this slow internet connection.,anger,i'm frustrated with this slow internet connection.
I hate it when people don't respond to texts.,anger,i hate it when people don't respond to texts.
This homework is really pissing me off tonight.,anger,this homework is really pissing me off tonight.
I'm fed up with these long lines everywhere.,anger,i'm fed up with these long lines everywhere.
My day just got ruined by bad news.,anger,my day just got ruined by bad news.
I'm irritated by all these spam calls lately.,anger,i'm irritated by all these spam calls lately.
I'm so done with this broken printer already.,anger,i'm so done with this broken printer already.
I'm really annoyed with my roommate's mess.,anger,i'm really annoyed with my roommate's mess.
I'm so frustrated with this traffic right now.,anger,i'm so frustrated with this traffic right now.
"Ugh, my boss is being super annoying today.",anger,"ugh, my boss is being super annoying today."
I'm really mad at myself for forgetting that.,anger,i'm really mad at myself for forgetting that.
This rain is ruining my whole day somehow.,anger,this rain is ruining my whole day somehow.
I'm getting really irritated with this slow Wi-Fi.,anger,i'm getting really irritated with this slow wifi.
My neighbor's music is driving me crazy again.,anger,my neighbor's music is driving me crazy again.
I'm fed up with this homework assignment already.,anger,i'm fed up with this homework assignment already.
Today's commute was a total nightmare for me.,anger,today's commute was a total nightmare for me.
I'm so annoyed that my favorite show got cancelled.,anger,i'm so annoyed that my favorite show got cancelled.
My sibling is being super annoying right now too.,anger,my sibling is being super annoying right now too.
I'm really frustrated with this situation right now.,anger,i'm really frustrated with this situation right now.
My day just got a lot worse suddenly.,anger,my day just got a lot worse suddenly.
I'm so annoyed with this traffic jam already.,anger,i'm so annoyed with this traffic jam already.
I feel angry about what you just said.,anger,i feel angry about what you just said.
This is really pissing me off right now.,anger,this is really pissing me off right now.
I'm fed up with all these mistakes lately.,anger,i'm fed up with all these mistakes lately.
My patience is wearing thin today somehow.,anger,my patience is wearing thin today somehow.
I'm getting really irritated with this noise.,anger,i'm getting really irritated with this noise.
This whole thing is just infuriating me now.,anger,this whole thing is just infuriating me now.
I'm seriously annoyed at you right now dude.,anger,i'm seriously annoyed at you right now dude.
"Ugh, my boss is really frustrating me today.",anger,"ugh, my boss is really frustrating me today."
I'm so annoyed with this traffic right now man.,anger,i'm so annoyed with this traffic right now man.
My sister is being super annoying lately.,anger,my sister is being super annoying lately.
I hate it when people don't listen to me.,anger,i hate it when people don't listen to me.
This homework is pissing me off so much already.,anger,this homework is pissing me off so much already.
I'm fed up with waiting for this bus still.,anger,i'm fed up with waiting for this bus still.
My mom's constant nagging is driving me crazy.,anger,my mom's constant nagging is driving me crazy.
I'm really angry about what he said to me yesterday.,anger,i'm really angry about what he said to me yesterday.
The noise in this apartment complex is infuriating me.,anger,the noise in this apartment complex is infuriating me.
This customer service rep is not helping at all!,anger,this customer service rep is not helping at all!
I'm so frustrated with this traffic jam right now.,anger,i'm so frustrated with this traffic jam right now.
My boss is really pissing me off today somehow.,anger,my boss is really pissing me off today somehow.
I'm getting annoyed with all these spam calls lately.,anger,i'm getting annoyed with all these spam calls lately.
Today was a pretty crappy day for me overall.,anger,today was a pretty crappy day for me overall.
I feel really angry about what happened last night.,anger,i feel really angry about what happened last night.
My neighbor's noise is driving me insane tonight.,anger,my neighbor's noise is driving me insane tonight.
I'm fed up with all these errors on my bill.,anger,i'm fed up with all these errors on my bill.
This project is giving me so much stress already.,anger,this project is giving me so much stress already.
I'm really upset about what you said to me earlier.,anger,i'm really upset about what you said to me earlier.
My internet connection is infuriating me right now.,anger,my internet connection is infuriating me right now.
I'm so fed up with this stupid traffic jam.,anger,i'm so fed up with this stupid traffic jam.
My boss is literally driving me insane today.,anger,my boss is literally driving me insane today.
I'm beyond furious about what he just said.,anger,i'm beyond furious about what he just said.
Today has been a complete and utter disaster.,anger,today has been a complete and utter disaster.
My day just went from bad to worse instantly.,anger,my day just went from bad to worse instantly.
I'm seriously about to lose my temper here.,anger,i'm seriously about to lose my temper here.
This is the worst day of my life so far.,anger,this is the worst day of my life so far.
I'm so angry I could scream right now honestly.,anger,i'm so angry i could scream right now honestly.
"I'm fuming about what just happened, so unfair.",anger,"i'm fuming about what just happened, so unfair."
I'm really frustrated with this traffic jam right now.,anger,i'm really frustrated with this traffic jam right now.
I feel annoyed with my neighbor's loud music again.,anger,i feel annoyed with my neighbor's loud music again.
This project is driving me crazy today somehow.,anger,this project is driving me crazy today somehow.
I'm so fed up with this slow internet connection.,anger,i'm so fed up with this slow internet connection.
My boss is really getting on my nerves lately.,anger,my boss is really getting on my nerves lately.
This rain is totally ruining my outdoor plans today.,anger,this rain is totally ruining my outdoor plans today.
I feel irritated with my friend's constant cancellations.,anger,i feel irritated with my friend's constant cancellations.
This noise pollution is really bothering me right now.,anger,this noise pollution is really bothering me right now.
My boss is really pissing me off today.,anger,my boss is really pissing me off today.
I feel really annoyed with my roommate's mess.,anger,i feel really annoyed with my roommate's mess.
I'm getting tired of people cutting me off.,anger,i'm getting tired of people cutting me off.
Today has been a pretty annoying day so far.,anger,today has been a pretty annoying day so far.
I feel angry about what happened last night.,anger,i feel angry about what happened last night.
My neighbor's noise is driving me crazy again.,anger,my neighbor's noise is driving me crazy again.
I'm fed up with waiting in these long lines.,anger,i'm fed up with waiting in these long lines.
I feel irritated with my phone's battery life today.,anger,i feel irritated with my phone's battery life today.
This stupid project is really stressing me out now.,anger,this stupid project is really stressing me out now.
I'm fed up with these constant delays already.,anger,i'm fed up with these constant delays already.
This noise is driving me absolutely crazy.,anger,this noise is driving me absolutely crazy.
I'm getting really annoyed with my roommate.,anger,i'm getting really annoyed with my roommate.
Today has been a total disaster so far.,anger,today has been a total disaster so far.
I'm still fuming about what he said yesterday.,anger,i'm still fuming about what he said yesterday.
This situation is really getting on my nerves.,anger,this situation is really getting on my nerves.
I'm so sick of being stuck in this queue.,anger,i'm so sick of being stuck in this queue.
My computer is seriously infuriating me right now.,anger,my computer is seriously infuriating me right now.
I'm so frustrated with this traffic jam today.,anger,i'm so frustrated with this traffic jam today.
Can't believe my phone died again already.,anger,can't believe my phone died again already.
"Ugh, my boss is being super unreasonable today.",anger,"ugh, my boss is being super unreasonable today."
I'm really annoyed at my little brother right now.,anger,i'm really annoyed at my little brother right now.
Why does everything always go wrong for me?,anger,why does everything always go wrong for me?
My internet connection is driving me crazy today,anger,my internet connection is driving me crazy today
I hate when people cut in front of me,anger,i hate when people cut in front of me
This project deadline is stressing me out big time,anger,this project deadline is stressing me out big time
I'm still mad at him for what he said yesterday,anger,i'm still mad at him for what he said yesterday
My computer just froze up on me again,anger,my computer just froze up on me again
I'm really frustrated with this traffic right now.,anger,i'm really frustrated with this traffic right now.
My boss is being super unreasonable today.,anger,my boss is being super unreasonable today.
I feel so annoyed at my neighbor's noise.,anger,i feel so annoyed at my neighbor's noise.
This assignment is really pissing me off now.,anger,this assignment is really pissing me off now.
I'm getting tired of being disrespected like this.,anger,i'm getting tired of being disrespected like this.
I'm so angry at myself for forgetting that.,anger,i'm so angry at myself for forgetting that.
This situation is really infuriating me right now.,anger,this situation is really infuriating me right now.
I'm totally sick of dealing with this nonsense daily.,anger,i'm totally sick of dealing with this nonsense daily.
My boss is driving me absolutely insane today.,anger,my boss is driving me absolutely insane today.
I hate everything about this stupid situation.,anger,i hate everything about this stupid situation.
I'm so angry I could scream right now.,anger,i'm so angry i could scream right now.
My frustration level is off the charts today.,anger,my frustration level is off the charts today.
"This is ridiculous, I've had enough of this crap.",anger,"this is ridiculous, i've had enough of this crap."
"I feel like punching something, so angry right now.",anger,"i feel like punching something, so angry right now."
My day has been ruined by this one person.,anger,my day has been ruined by this one person.
"I'm beyond furious, can't even think straight.",anger,"i'm beyond furious, can't even think straight."
I'm fed up with waiting for a response already.,anger,i'm fed up with waiting for a response already.
This noise is driving me crazy honestly though.,anger,this noise is driving me crazy honestly though.
I'm seriously annoyed at my sibling right now.,anger,i'm seriously annoyed at my sibling right now.
Can't believe my favorite show got cancelled again.,anger,can't believe my favorite show got cancelled again.
Today was such a waste of time for me ugh.,anger,today was such a waste of time for me ugh.
My neighbor's music is way too loud again tonight.,anger,my neighbor's music is way too loud again tonight.
I'm getting pretty irritated with this slow service here.,anger,i'm getting pretty irritated with this slow service here.
Why do people always have to cut me off driving?,anger,why do people always have to cut me off driving?
My boss is being super unfair to me again.,anger,my boss is being super unfair to me again.
I feel frustrated with this stupid assignment due tomorrow.,anger,i feel frustrated with this stupid assignment due tomorrow.
I'm getting really tired of waiting in line here.,anger,i'm getting really tired of waiting in line here.
I'm really upset that my favorite show got cancelled.,anger,i'm really upset that my favorite show got cancelled.
My neighbor's music is driving me crazy tonight.,anger,my neighbor's music is driving me crazy tonight.
This customer service is taking forever to respond.,anger,this customer service is taking forever to respond.
I'm getting fed up with all these annoying emails.,anger,i'm getting fed up with all these annoying emails.
I'm so fed up with this situation right now.,anger,i'm so fed up with this situation right now.
Today was a complete disaster for me somehow.,anger,today was a complete disaster for me somehow.
I feel incredibly angry about what you said.,anger,i feel incredibly angry about what you said.
My day just got ruined by that stupid comment.,anger,my day just got ruined by that stupid comment.
I'm seriously furious at the world right now.,anger,i'm seriously furious at the world right now.
That person is literally driving me crazy today.,anger,that person is literally driving me crazy today.
